CountyName,LocationName,Asthma,TotalPopulation,TotalPop18plus,COP,GEOID,Smoking,Drinking,Short_Sleep,Physical_Activity,neighbor_avg_density,minority,aging,disability,forest_total,wetland_total,Hdensity_total,Ldensity_total,grasses_total,water_total,forest_pct,Hdensity_pct,lst_winter,ndvi_fall,evi_spring,evi_fall,savi_fall,savi_winter,savi_summer,savi_spring,ndvi_winter,lst_summer,evi_summer,lst_spring,lst_fall,ndvi_spring,ndvi_summer,evi_winter
Allegheny,42003141200,9.7,4007,3242,4.8,42003141200,10.3,21.3,32.1,15.6,16.251157222578613,0.1796128399901984,0.2246998284734133,0.1056113697623131,2.341176470588235,0.0,625.6784313725491,160.41176470588235,0.0,0.0,0.0,0.5698723895003384,5.846844166740902,0.4854952279629691,0.2868149412861625,0.2546669463257004,0.2519160256008808,0.126745841237805,0.3422074703140687,0.274673986066581,0.3166982904632764,38.62195609095688,0.3597546740142759,27.566184373772742,23.110597953048703,0.4698269124009294,0.5694214821479321,0.1189307678667276
Allegheny,42003140100,10.6,5579,5066,4.2,42003140100,10.7,23.9,34.5,19.8,84.11998467034265,0.3130107878391631,0.0838509316770186,0.0704478587773782,0.0,0.0,691.835294117647,432.372549019608,0.0,0.0,0.0,0.30515593646906786,6.916926098696624,0.5120102072771335,0.3175456545198226,0.2992158984789499,0.2882053446850896,0.1553478075485953,0.365759688251591,0.2975345318965379,0.3476007882770918,37.7101348542799,0.3974439243619688,27.80691010369939,21.461009290714436,0.4886169984498211,0.5702549781289009,0.155802914378108
Allegheny,42003191900,10.6,2177,1786,5.9,42003191900,14.6,22.1,35.0,19.2,18.31385919378054,0.0606762389995368,0.222325150532654,0.1741547012505789,0.0,0.0,334.59607843137263,64.11372549019607,0.0,0.0,0.0,0.5817139776376549,8.235525101751497,0.4553608427418223,0.2848398047703182,0.2503192051919563,0.2463665858669769,0.1346260293816235,0.3073446671122432,0.2725966011398893,0.2774799430127789,36.41073648757435,0.3243324822187826,32.85046265798081,21.10157904135529,0.4466546997833787,0.4898393835078619,0.1350865840253652
Allegheny,42003320700,10.7,1613,1318,7.3,42003320700,16.4,21.3,36.0,21.4,17.05916635989611,0.1648936170212765,0.1478723404255319,0.1186170212765957,334.9450980392156,0.0,619.1333333333334,950.3686274509802,0.0,0.0,0.45649857746660266,0.08887819152642211,4.928170964681321,0.56081933438922,0.3784695881056771,0.3278329803279603,0.3158652817476911,0.144300444813958,0.4301956155226774,0.3505883143119307,0.3674079293062797,36.0508760615287,0.4721555331107403,28.288316843099537,19.08539885909332,0.5657215437012905,0.6547180691601361,0.1357198946816906
Allegheny,42003100500,11.3,2013,1695,7.7,42003100500,15.3,15.8,40.6,25.9,18.25448335276509,0.6930301532377657,0.2649530400395452,0.1641127039050914,57.396078431372544,0.0,316.02745098039213,199.8313725490196,23.721568627450974,0.0,0.10453675867723422,0.18019035328278754,4.78131578409756,0.547767119854649,0.3529314526591148,0.3123384479358601,0.3014206312243238,0.1643389587970772,0.4146671631536716,0.3303902202163802,0.3562936091723775,36.34147639751168,0.456215173247695,30.983729643502667,20.809971745994268,0.5386203118673222,0.6324652662056665,0.1615333254149794
Adams,42001030101,10.4,2646,2069,8.2,42001030101,15.7,17.9,36.9,22.4,0.22733851660253926,0.0726109857035365,0.1960120391271632,0.109857035364936,14626.749019607843,2675.717647058824,817.8705882352939,5868.972549019608,31291.925490196103,288.7450980392157,0.47071588690181104,0.08410650325810215,4.714395459960307,0.6724383706594095,0.3198015793799621,0.4101648833961201,0.3950056078583669,0.2633754387887088,0.517445366859696,0.3160834878322064,0.4735590758306736,33.25729623248606,0.5685136198392992,10.827597798107556,19.37938574228193,0.5018167080210967,0.7621198926622241,0.2603777590021364
Allegheny,42003300100,13.1,3493,2529,10.9,42003300100,26.1,15.8,46.0,35.0,37.05239610568894,0.5950334288443171,0.1105539637058261,0.0897803247373447,0.8156862745098039,0.0,709.8549019607842,77.58823529411764,0.0,0.0,0.0,0.6595714119980335,7.813766087139298,0.4836378941442161,0.3003687992861616,0.2616845435762561,0.2562859638617917,0.1147919610528112,0.3287538070273438,0.2849961039314447,0.2713756051345145,37.58175231232931,0.3485709983680532,33.10499090751318,23.73993998012616,0.4779065397706612,0.5323086115183701,0.1124822425079694
Allegheny,42003261300,13.7,2767,1781,11.3,42003261300,24.8,14.3,45.9,35.7,10.845020831242568,0.6695594125500668,0.1251668891855807,0.106475300400534,387.1490196078429,0.0,600.7882352941176,946.7725490196076,10.674509803921568,0.0,0.2667868683082971,0.17240096344018643,5.144895270184144,0.594683191221024,0.3743897811434715,0.3713512641693253,0.3521389941557605,0.1560269701577389,0.4592667898797014,0.350318048466191,0.3899553749165086,34.970491952690075,0.5090198942895157,27.69589305024794,17.323490317619235,0.5680882306565375,0.6892595389754038,0.1505694370650106
Adams,42001031501,11.4,3157,2979,4.0,42001031501,11.2,22.0,39.1,20.8,7.248038620629292,0.1736385161799526,0.0544593528018942,0.1002367797947908,58.07450980392158,1.9254901960784316,438.8784313725491,766.1725490196079,242.65098039215687,10.0,0.2992099399014113,0.18771556731061342,3.655908070852073,0.5162786130490121,0.3379626010820974,0.3059753940683234,0.2987779727119589,0.2325839047030748,0.3805114554923979,0.3251172013192662,0.431413155483782,40.46473902053506,0.4040526648631444,19.54519353519811,22.029556883795063,0.5097131787619367,0.5890432301000896,0.2325668860570202
Allegheny,42003161000,11.7,2666,2104,8.7,42003161000,20.1,18.4,40.6,27.5,24.355835317095522,0.4607167470709855,0.1109579600275671,0.1936595451412818,817.1176470588239,0.0,970.474509803922,1205.2666666666655,41.68627450980392,0.0,0.40869627816571863,0.3299093631172944,6.323170757994335,0.6122136459341659,0.3726825533496423,0.3764463069627274,0.3569032520251937,0.1362122513883409,0.4897811440181686,0.3462742733772423,0.3352671865436835,32.241229988005706,0.5551560666959267,26.350340717413523,20.150294899292977,0.5826744959611119,0.7103535345420451,0.1347545557050424
