system:index,geoid,sum,.geo
19,42001031203,6654.427450980393,"{""type"":""Polygon"",""coordinates"":[[[-77.0998084355443,39.77542871954305],[-77.09713446016406,39.75345869269167],[-77.04344827293919,39.71991862249454],[-76.99931724986223,39.72010664895767],[-76.99944939147274,39.76020872751685],[-77.03670540433109,39.770600731703546],[-77.05417138264224,39.80014576842885],[-77.07329238772401,39.80429276646677],[-77.0998084355443,39.77542871954305]]]}"
20,42001031300,1614.003921568627,"{""type"":""Polygon"",""coordinates"":[[[-77.10373744253124,39.745240671522545],[-77.09151237840899,39.73478564236996],[-77.07248540707424,39.74222767115079],[-77.08282344939116,39.75498069793296],[-77.10373744253124,39.745240671522545]]]}"
21,42001031401,6203.03137254902,"{""type"":""Polygon"",""coordinates"":[[[-77.29616114143394,39.843399543927895],[-77.28463422890036,39.81839255721222],[-77.24578943506808,39.82908271388862],[-77.24090641014197,39.84371372720221],[-77.22155041276946,39.83684673227499],[-77.2214643395563,39.88536677178914],[-77.26344529708977,39.87315069745372],[-77.29616114143394,39.843399543927895]]]}"
22,42001031402,7904.294117647057,"{""type"":""Polygon"",""coordinates"":[[[-77.29644715459153,39.813568500187365],[-77.27538331057909,39.79654757236165],[-77.28104927146279,39.74276546266697],[-77.21706036316532,39.719861527537134],[-77.23270854436849,39.754248662547866],[-77.20551648263711,39.78467869528738],[-77.21763542236013,39.829356728138414],[-77.29644715459153,39.813568500187365]]]}"
23,42001031501,766.1725490196079,"{""type"":""Polygon"",""coordinates"":[[[-77.24505342401832,39.835922719240564],[-77.2338134252132,39.83208572216354],[-77.21984441464961,39.83512373176069],[-77.24090641014197,39.84371372720221],[-77.24505342401832,39.835922719240564]]]}"
24,42001031502,1324.3450980392156,"{""type"":""Polygon"",""coordinates"":[[[-77.2459994254219,39.83528171828117],[-77.2369894515849,39.81592870830403],[-77.21763542236013,39.829356728138414],[-77.21984441464961,39.83512373176069],[-77.2459994254219,39.83528171828117]]]}"
25,42001031600,19394.28235294117,"{""type"":""Polygon"",""coordinates"":[[[-77.45985385149454,39.74363255245035],[-77.4591318088292,39.71998359040908],[-77.24311437688223,39.71988351341376],[-77.28132327154295,39.74318146289723],[-77.27302134549325,39.778951564406555],[-77.29634715557121,39.812930499708294],[-77.28472323081724,39.815157552797174],[-77.28973617995328,39.84256656760466],[-77.32536397119999,39.85679645643165],[-77.35686578828201,39.84958632441451],[-77.34042385032366,39.78753225536825],[-77.39335744880724,39.776367972792784],[-77.38657048485253,39.76721798017556],[-77.41753417996475,39.740558769291134],[-77.45985385149454,39.74363255245035]]]}"
26,42001031700,7645.854901960782,"{""type"":""Polygon"",""coordinates"":[[[-77.46595719442185,39.85976395531194],[-77.45955885326589,39.74334855437289],[-77.41753417996475,39.740558769291134],[-77.38657048485253,39.76721798017556],[-77.39335744880724,39.776367972792784],[-77.34042385032366,39.78753225536825],[-77.35686578828201,39.84958632441451],[-77.39675653392531,39.836371134987985],[-77.45077031191349,39.87057305128627],[-77.46595719442185,39.85976395531194]]]}"
27,42003010301,6.52156862745098,"{""type"":""Polygon"",""coordinates"":[[[-79.99673667126787,40.432799908711765],[-79.97350072141178,40.43387590448979],[-79.97287273035977,40.43652590383083],[-79.9946216852818,40.435794907495755],[-79.99673667126787,40.432799908711765]]]}"
28,42003010302,6.023529411764706,"{""type"":""Polygon"",""coordinates"":[[[-79.9945746856248,40.4358719074663],[-79.98676969824736,40.43498090643711],[-79.97264173419752,40.437693903551164],[-79.99370969719467,40.43891990646905],[-79.9945746856248,40.4358719074663]]]}"
