CountyName,Asthma,TotalPopulation,COP,GEOID,Smoking,Drinking,Short_Sleep,Physical_Activity,neighbor_avg_density,minority,aging,disability,forest_total,wetland_total,Hdensity_total,Ldensity_total,grasses_total,water_total,forest_pct,Hdensity_pct,evi_summer,lst_summer,ndvi_summer,savi_summer,summer_count,summer_rate
Allegheny,9.7,4007,4.8,42003141200,10.3,21.3,32.1,15.6,16.251157222578613,0.1796128399901984,0.2246998284734133,0.1056113697623131,2.341176470588235,0.0,625.6784313725491,160.41176470588235,0.0,0.0,0.0,0.5698723895003384,0.3597546740142759,38.62195609095688,0.5694214821479321,0.3422074703140687,36.26382816229117,0.9050119331742243
Allegheny,10.6,5579,4.2,42003140100,10.7,23.9,34.5,19.8,84.11998467034265,0.3130107878391631,0.0838509316770186,0.0704478587773782,0.0,0.0,691.835294117647,432.372549019608,0.0,0.0,0.0,0.3051559364690678,0.3974439243619688,37.7101348542799,0.5702549781289009,0.365759688251591,44.17928878281623,0.7918854415274463
Allegheny,10.6,2177,5.9,42003191900,14.6,22.1,35.0,19.2,18.31385919378054,0.0606762389995368,0.222325150532654,0.1741547012505789,0.0,0.0,334.59607843137263,64.11372549019607,0.0,0.0,0.0,0.5817139776376549,0.3243324822187826,36.41073648757435,0.4898393835078619,0.3073446671122432,24.217176610978523,1.1124105011933176
Allegheny,10.7,1613,7.3,42003320700,16.4,21.3,36.0,21.4,17.05916635989611,0.1648936170212765,0.1478723404255319,0.1186170212765957,334.9450980392156,0.0,619.1333333333334,950.3686274509802,0.0,0.0,0.4564985774666026,0.0888781915264221,0.4721555331107403,36.0508760615287,0.6547180691601361,0.4301956155226774,22.200885441527447,1.3763723150357996
Allegheny,11.3,2013,7.7,42003100500,15.3,15.8,40.6,25.9,18.25448335276509,0.6930301532377657,0.2649530400395452,0.1641127039050914,57.396078431372544,0.0,316.02745098039213,199.8313725490196,23.721568627450974,0.0,0.1045367586772342,0.1801903532827875,0.456215173247695,36.34147639751168,0.6324652662056665,0.4146671631536716,29.224532219570406,1.4517899761336515
Adams,10.4,2646,8.2,42001030101,15.7,17.9,36.9,22.4,0.2273385166025392,0.0726109857035365,0.1960120391271632,0.109857035364936,14626.749019607843,2675.717647058824,817.8705882352939,5868.972549019608,31291.925490196103,288.7450980392157,0.470715886901811,0.0841065032581021,0.5685136198392992,33.25729623248606,0.7621198926622241,0.517445366859696,40.908801909307876,1.5460620525059665
Allegheny,13.1,3493,10.9,42003300100,26.1,15.8,46.0,35.0,37.05239610568894,0.5950334288443171,0.1105539637058261,0.0897803247373447,0.8156862745098039,0.0,709.8549019607842,77.58823529411764,0.0,0.0,0.0,0.6595714119980335,0.3485709983680532,37.58175231232931,0.5323086115183701,0.3287538070273438,71.78573508353223,2.055131264916468
Allegheny,13.7,2767,11.3,42003261300,24.8,14.3,45.9,35.7,10.845020831242568,0.6695594125500668,0.1251668891855807,0.106475300400534,387.1490196078429,0.0,600.7882352941176,946.7725490196076,10.674509803921568,0.0,0.2667868683082971,0.1724009634401864,0.5090198942895157,34.970491952690075,0.6892595389754038,0.4592667898797014,58.952288782816225,2.1305489260143196
Adams,11.4,3157,4.0,42001031501,11.2,22.0,39.1,20.8,7.248038620629292,0.1736385161799526,0.0544593528018942,0.1002367797947908,58.07450980392158,1.9254901960784316,438.8784313725491,766.1725490196079,242.65098039215687,10.0,0.2992099399014113,0.1877155673106134,0.4040526648631444,40.46473902053506,0.5890432301000896,0.3805114554923979,23.809355608591886,0.7541766109785203
Allegheny,11.7,2666,8.7,42003161000,20.1,18.4,40.6,27.5,24.35583531709552,0.4607167470709855,0.1109579600275671,0.1936595451412818,817.1176470588239,0.0,970.474509803922,1205.2666666666655,41.68627450980392,0.0,0.4086962781657186,0.3299093631172944,0.5551560666959267,32.241229988005706,0.7103535345420451,0.4897811440181686,43.731307875894984,1.6403341288782816
