CountyName,Asthma,TotalPopulation,COP,GEOID,Smoking,Drinking,Short_Sleep,Physical_Activity,neighbor_avg_density,minority,aging,disability,forest_total,wetland_total,Hdensity_total,Ldensity_total,grasses_total,water_total,forest_pct,Hdensity_pct,evi_fall,lst_fall,ndvi_fall,savi_fall,fall_count,fall_rate
Allegheny,9.7,4007,4.8,42003141200,10.3,21.3,32.1,15.6,16.251157222578613,0.1796128399901984,0.2246998284734133,0.1056113697623131,2.341176470588235,0.0,625.6784313725491,160.41176470588235,0.0,0.0,0.0,0.5698723895003384,0.2546669463257004,23.110597953048703,0.4854952279629691,0.2519160256008808,45.90357995226731,1.145584725536993
Allegheny,10.6,5579,4.2,42003140100,10.7,23.9,34.5,19.8,84.11998467034265,0.3130107878391631,0.0838509316770186,0.0704478587773782,0.0,0.0,691.835294117647,432.372549019608,0.0,0.0,0.0,0.3051559364690678,0.2992158984789499,21.461009290714436,0.5120102072771335,0.2882053446850896,55.92315035799523,1.0023866348448687
Allegheny,10.6,2177,5.9,42003191900,14.6,22.1,35.0,19.2,18.31385919378054,0.0606762389995368,0.222325150532654,0.1741547012505789,0.0,0.0,334.59607843137263,64.11372549019607,0.0,0.0,0.0,0.5817139776376549,0.2503192051919563,21.10157904135529,0.4553608427418223,0.2463665858669769,30.654653937947497,1.4081145584725538
Allegheny,10.7,1613,7.3,42003320700,16.4,21.3,36.0,21.4,17.05916635989611,0.1648936170212765,0.1478723404255319,0.1186170212765957,334.9450980392156,0.0,619.1333333333334,950.3686274509802,0.0,0.0,0.4564985774666026,0.0888781915264221,0.3278329803279603,19.08539885909332,0.56081933438922,0.3158652817476911,28.10238663484487,1.7422434367541766
Allegheny,11.3,2013,7.7,42003100500,15.3,15.8,40.6,25.9,18.25448335276509,0.6930301532377657,0.2649530400395452,0.1641127039050914,57.396078431372544,0.0,316.02745098039213,199.8313725490196,23.721568627450974,0.0,0.1045367586772342,0.1801903532827875,0.3123384479358601,20.809971745994268,0.547767119854649,0.3014206312243238,36.993078758949885,1.8377088305489262
Adams,10.4,2646,8.2,42001030101,15.7,17.9,36.9,22.4,0.2273385166025392,0.0726109857035365,0.1960120391271632,0.109857035364936,14626.749019607843,2675.717647058824,817.8705882352939,5868.972549019608,31291.925490196103,288.7450980392157,0.470715886901811,0.0841065032581021,0.4101648833961201,19.37938574228193,0.6724383706594095,0.3950056078583669,51.783293556085916,1.9570405727923628
Allegheny,13.1,3493,10.9,42003300100,26.1,15.8,46.0,35.0,37.05239610568894,0.5950334288443171,0.1105539637058261,0.0897803247373447,0.8156862745098039,0.0,709.8549019607842,77.58823529411764,0.0,0.0,0.0,0.6595714119980335,0.2616845435762561,23.73993998012616,0.4836378941442161,0.2562859638617917,90.86801909307877,2.6014319809069217
Allegheny,13.7,2767,11.3,42003261300,24.8,14.3,45.9,35.7,10.845020831242568,0.6695594125500668,0.1251668891855807,0.106475300400534,387.1490196078429,0.0,600.7882352941176,946.7725490196076,10.674509803921568,0.0,0.2667868683082971,0.1724009634401864,0.3713512641693253,17.323490317619235,0.594683191221024,0.3521389941557605,74.62315035799523,2.6968973747016705
Adams,11.4,3157,4.0,42001031501,11.2,22.0,39.1,20.8,7.248038620629292,0.1736385161799526,0.0544593528018942,0.1002367797947908,58.07450980392158,1.9254901960784316,438.8784313725491,766.1725490196079,242.65098039215687,10.0,0.2992099399014113,0.1877155673106134,0.3059753940683234,22.029556883795063,0.5162786130490121,0.2987779727119589,30.13842482100239,0.9546539379474941
Allegheny,11.7,2666,8.7,42003161000,20.1,18.4,40.6,27.5,24.35583531709552,0.4607167470709855,0.1109579600275671,0.1936595451412818,817.1176470588239,0.0,970.474509803922,1205.2666666666655,41.68627450980392,0.0,0.4086962781657186,0.3299093631172944,0.3764463069627274,20.150294899292977,0.6122136459341659,0.3569032520251937,55.35608591885441,2.0763723150357993
Allegheny,11.0,2658,4.9,42003111300,13.2,21.8,38.1,19.9,37.0112387932043,0.3472172351885099,0.1217235188509874,0.1371633752244165,1.8901960784313725,0.0,471.36862745098034,72.58823529411765,2.388235294117647,0.0,0.0,0.6726428672451519,0.2470290747682308,22.262161947846145,0.462285451819387,0.2424395717321865,31.084009546539384,1.1694510739856805
Allegheny,10.9,4141,8.1,42003191600,16.5,21.2,37.0,23.3,19.899292929219133,0.2715897939156035,0.2041216879293425,0.1921000981354269,596.9254901960783,0.0,1014.5960784313726,1070.4705882352937,2.0,0.0,0.4453211226152311,0.2039795610732755,0.3150287934081256,20.559914279389307,0.5703096330092422,0.3056508758122765,80.0527446300716,1.9331742243436756
Allegheny,8.8,4658,4.2,42003140800,8.1,21.3,31.1,14.7,12.481720496847942,0.2317544216304126,0.1677170156535881,0.0628176458629802,201.80392156862743,0.0,512.9960784313723,269.2823529411764,5.0,0.0,0.6034395647104548,0.372972311832067,0.3186372852047883,20.988278095857435,0.5656693992201991,0.3091853762636551,46.691169451073996,1.002386634844869
Allegheny,10.7,2725,5.8,42003191400,13.8,24.8,35.1,18.9,26.921743929492855,0.1593248250308769,0.1379168382050226,0.1086867023466447,189.4313725490196,0.0,800.3098039215683,363.9960784313726,0.0,0.0,0.2396853327812855,0.5032952925092734,0.2607302538344867,22.534141525179784,0.5241996495317965,0.2555926897723217,37.720763723150355,1.3842482100238662
