CountyName,Asthma,TotalPopulation,COP,GEOID,Smoking,Drinking,Short_Sleep,Physical_Activity,neighbor_avg_density,minority,aging,disability,forest_total,wetland_total,Hdensity_total,Ldensity_total,grasses_total,water_total,forest_pct,Hdensity_pct,evi_winter,lst_winter,ndvi_winter,savi_winter,winter_count,winter_rate
Allegheny,9.7,4007,4.8,42003141200,10.3,21.3,32.1,15.6,16.251157222578613,0.1796128399901984,0.2246998284734133,0.1056113697623131,2.341176470588235,0.0,625.6784313725491,160.41176470588235,0.0,0.0,0.0,0.5698723895003384,0.1189307678667276,5.846844166740902,0.3166982904632764,0.126745841237805,59.67465393794751,1.4892601431980912
Allegheny,10.6,5579,4.2,42003140100,10.7,23.9,34.5,19.8,84.11998467034265,0.3130107878391631,0.0838509316770186,0.0704478587773782,0.0,0.0,691.835294117647,432.372549019608,0.0,0.0,0.0,0.3051559364690678,0.155802914378108,6.916926098696624,0.3476007882770918,0.1553478075485953,72.70009546539382,1.3031026252983298
Allegheny,10.6,2177,5.9,42003191900,14.6,22.1,35.0,19.2,18.31385919378054,0.0606762389995368,0.222325150532654,0.1741547012505789,0.0,0.0,334.59607843137263,64.11372549019607,0.0,0.0,0.0,0.5817139776376549,0.1350865840253652,8.235525101751497,0.2774799430127789,0.1346260293816235,39.85105011933175,1.8305489260143204
Allegheny,10.7,1613,7.3,42003320700,16.4,21.3,36.0,21.4,17.05916635989611,0.1648936170212765,0.1478723404255319,0.1186170212765957,334.9450980392156,0.0,619.1333333333334,950.3686274509802,0.0,0.0,0.4564985774666026,0.0888781915264221,0.1357198946816906,4.928170964681321,0.3674079293062797,0.144300444813958,36.53310262529833,2.26491646778043
Allegheny,11.3,2013,7.7,42003100500,15.3,15.8,40.6,25.9,18.25448335276509,0.6930301532377657,0.2649530400395452,0.1641127039050914,57.396078431372544,0.0,316.02745098039213,199.8313725490196,23.721568627450974,0.0,0.1045367586772342,0.1801903532827875,0.1615333254149794,4.78131578409756,0.3562936091723775,0.1643389587970772,48.091002386634855,2.3890214797136045
Adams,10.4,2646,8.2,42001030101,15.7,17.9,36.9,22.4,0.2273385166025392,0.0726109857035365,0.1960120391271632,0.109857035364936,14626.749019607843,2675.717647058824,817.8705882352939,5868.972549019608,31291.925490196103,288.7450980392157,0.470715886901811,0.0841065032581021,0.2603777590021364,4.714395459960307,0.4735590758306736,0.2633754387887088,67.3182816229117,2.544152744630072
Allegheny,13.1,3493,10.9,42003300100,26.1,15.8,46.0,35.0,37.05239610568894,0.5950334288443171,0.1105539637058261,0.0897803247373447,0.8156862745098039,0.0,709.8549019607842,77.58823529411764,0.0,0.0,0.0,0.6595714119980335,0.1124822425079694,7.813766087139298,0.2713756051345145,0.1147919610528112,118.12842482100241,3.381861575178998
Allegheny,13.7,2767,11.3,42003261300,24.8,14.3,45.9,35.7,10.845020831242568,0.6695594125500668,0.1251668891855807,0.106475300400534,387.1490196078429,0.0,600.7882352941176,946.7725490196076,10.674509803921568,0.0,0.2667868683082971,0.1724009634401864,0.1505694370650106,5.144895270184144,0.3899553749165086,0.1560269701577389,97.01009546539382,3.5059665871121726
Adams,11.4,3157,4.0,42001031501,11.2,22.0,39.1,20.8,7.248038620629292,0.1736385161799526,0.0544593528018942,0.1002367797947908,58.07450980392158,1.9254901960784316,438.8784313725491,766.1725490196079,242.65098039215687,10.0,0.2992099399014113,0.1877155673106134,0.2325668860570202,3.655908070852073,0.431413155483782,0.2325839047030748,39.17995226730311,1.2410501193317425
Allegheny,11.7,2666,8.7,42003161000,20.1,18.4,40.6,27.5,24.35583531709552,0.4607167470709855,0.1109579600275671,0.1936595451412818,817.1176470588239,0.0,970.474509803922,1205.2666666666655,41.68627450980392,0.0,0.4086962781657186,0.3299093631172944,0.1347545557050424,6.323170757994335,0.3352671865436835,0.1362122513883409,71.96291169451075,2.6992840095465396
Allegheny,11.0,2658,4.9,42003111300,13.2,21.8,38.1,19.9,37.0112387932043,0.3472172351885099,0.1217235188509874,0.1371633752244165,1.8901960784313725,0.0,471.36862745098034,72.58823529411765,2.388235294117647,0.0,0.0,0.6726428672451519,0.1280769471556519,10.315853872684594,0.2866768821381424,0.1291124463235742,40.409212410501205,1.5202863961813846
Allegheny,10.9,4141,8.1,42003191600,16.5,21.2,37.0,23.3,19.899292929219133,0.2715897939156035,0.2041216879293425,0.1921000981354269,596.9254901960783,0.0,1014.5960784313726,1070.4705882352937,2.0,0.0,0.4453211226152311,0.2039795610732755,0.1365631817969958,5.112572047112771,0.3386917495191022,0.1410088830540286,104.06856801909309,2.5131264916467786
Allegheny,8.8,4658,4.2,42003140800,8.1,21.3,31.1,14.7,12.481720496847942,0.2317544216304126,0.1677170156535881,0.0628176458629802,201.80392156862743,0.0,512.9960784313723,269.2823529411764,5.0,0.0,0.6034395647104548,0.372972311832067,0.1320208753908643,5.91144274668576,0.3558800035763498,0.1380894478222107,60.6985202863962,1.3031026252983298
Allegheny,10.7,2725,5.8,42003191400,13.8,24.8,35.1,18.9,26.921743929492855,0.1593248250308769,0.1379168382050226,0.1086867023466447,189.4313725490196,0.0,800.3098039215683,363.9960784313726,0.0,0.0,0.2396853327812855,0.5032952925092734,0.1038086108078407,5.098820913687809,0.3049774265291445,0.1106136090967325,49.03699284009547,1.7995226730310263
