CountyName,Asthma,TotalPopulation,COP,GEOID,Smoking,Drinking,Short_Sleep,Physical_Activity,neighbor_avg_density,minority,aging,disability,forest_total,wetland_total,Hdensity_total,Ldensity_total,grasses_total,water_total,forest_pct,Hdensity_pct,evi_spring,lst_spring,ndvi_spring,savi_spring,spring_count,spring_rate
Allegheny,9.7,4007,4.8,42003141200,10.3,21.3,32.1,15.6,16.251157222578613,0.1796128399901984,0.2246998284734133,0.1056113697623131,2.341176470588235,0.0,625.6784313725491,160.41176470588235,0.0,0.0,0.0,0.5698723895003384,0.2868149412861625,27.566184373772742,0.4698269124009294,0.274673986066581,50.49393794749404,1.2601431980906923
Allegheny,10.6,5579,4.2,42003140100,10.7,23.9,34.5,19.8,84.11998467034265,0.3130107878391631,0.0838509316770186,0.0704478587773782,0.0,0.0,691.835294117647,432.372549019608,0.0,0.0,0.0,0.3051559364690678,0.3175456545198226,27.80691010369939,0.4886169984498211,0.2975345318965379,61.515465393794756,1.1026252983293559
Allegheny,10.6,2177,5.9,42003191900,14.6,22.1,35.0,19.2,18.31385919378054,0.0606762389995368,0.222325150532654,0.1741547012505789,0.0,0.0,334.59607843137263,64.11372549019607,0.0,0.0,0.0,0.5817139776376549,0.2848398047703182,32.85046265798081,0.4466546997833787,0.2725966011398893,33.72011933174225,1.5489260143198091
Allegheny,10.7,1613,7.3,42003320700,16.4,21.3,36.0,21.4,17.05916635989611,0.1648936170212765,0.1478723404255319,0.1186170212765957,334.9450980392156,0.0,619.1333333333334,950.3686274509802,0.0,0.0,0.4564985774666026,0.0888781915264221,0.3784695881056771,28.288316843099537,0.5657215437012905,0.3505883143119307,30.912625298329356,1.9164677804295944
Allegheny,11.3,2013,7.7,42003100500,15.3,15.8,40.6,25.9,18.25448335276509,0.6930301532377657,0.2649530400395452,0.1641127039050914,57.396078431372544,0.0,316.02745098039213,199.8313725490196,23.721568627450974,0.0,0.1045367586772342,0.1801903532827875,0.3529314526591148,30.983729643502667,0.5386203118673222,0.3303902202163802,40.69238663484487,2.021479713603819
Adams,10.4,2646,8.2,42001030101,15.7,17.9,36.9,22.4,0.2273385166025392,0.0726109857035365,0.1960120391271632,0.109857035364936,14626.749019607843,2675.717647058824,817.8705882352939,5868.972549019608,31291.925490196103,288.7450980392157,0.470715886901811,0.0841065032581021,0.3198015793799621,10.827597798107556,0.5018167080210967,0.3160834878322064,56.961622911694505,2.152744630071599
Allegheny,13.1,3493,10.9,42003300100,26.1,15.8,46.0,35.0,37.05239610568894,0.5950334288443171,0.1105539637058261,0.0897803247373447,0.8156862745098039,0.0,709.8549019607842,77.58823529411764,0.0,0.0,0.0,0.6595714119980335,0.3003687992861616,33.10499090751318,0.4779065397706612,0.2849961039314447,99.95482100238665,2.861575178997614
Allegheny,13.7,2767,11.3,42003261300,24.8,14.3,45.9,35.7,10.845020831242568,0.6695594125500668,0.1251668891855807,0.106475300400534,387.1490196078429,0.0,600.7882352941176,946.7725490196076,10.674509803921568,0.0,0.2667868683082971,0.1724009634401864,0.3743897811434715,27.69589305024794,0.5680882306565375,0.350318048466191,82.08546539379475,2.9665871121718377
Adams,11.4,3157,4.0,42001031501,11.2,22.0,39.1,20.8,7.248038620629292,0.1736385161799526,0.0544593528018942,0.1002367797947908,58.07450980392158,1.9254901960784316,438.8784313725491,766.1725490196079,242.65098039215687,10.0,0.2992099399014113,0.1877155673106134,0.3379626010820974,19.54519353519811,0.5097131787619367,0.3251172013192662,33.152267303102626,1.0501193317422435
Allegheny,11.7,2666,8.7,42003161000,20.1,18.4,40.6,27.5,24.35583531709552,0.4607167470709855,0.1109579600275671,0.1936595451412818,817.1176470588239,0.0,970.474509803922,1205.2666666666655,41.68627450980392,0.0,0.4086962781657186,0.3299093631172944,0.3726825533496423,26.350340717413523,0.5826744959611119,0.3462742733772423,60.89169451073985,2.2840095465393793
Allegheny,11.0,2658,4.9,42003111300,13.2,21.8,38.1,19.9,37.0112387932043,0.3472172351885099,0.1217235188509874,0.1371633752244165,1.8901960784313725,0.0,471.36862745098034,72.58823529411765,2.388235294117647,0.0,0.0,0.6726428672451519,0.2308606749062231,29.21007486510128,0.3996189099958296,0.2223479513719299,34.19241050119332,1.2863961813842484
Allegheny,10.9,4141,8.1,42003191600,16.5,21.2,37.0,23.3,19.899292929219133,0.2715897939156035,0.2041216879293425,0.1921000981354269,596.9254901960783,0.0,1014.5960784313726,1070.4705882352937,2.0,0.0,0.4453211226152311,0.2039795610732755,0.3791849877541917,30.09181773436085,0.5625953658240449,0.3500557933052063,88.05801909307876,2.126491646778043
Allegheny,8.8,4658,4.2,42003140800,8.1,21.3,31.1,14.7,12.481720496847942,0.2317544216304126,0.1677170156535881,0.0628176458629802,201.80392156862743,0.0,512.9960784313723,269.2823529411764,5.0,0.0,0.6034395647104548,0.372972311832067,0.3620106669888894,26.664374182861447,0.562879740385946,0.3384184093160476,51.360286396181394,1.1026252983293559
Allegheny,10.7,2725,5.8,42003191400,13.8,24.8,35.1,18.9,26.921743929492855,0.1593248250308769,0.1379168382050226,0.1086867023466447,189.4313725490196,0.0,800.3098039215683,363.9960784313726,0.0,0.0,0.2396853327812855,0.5032952925092734,0.2834501479837076,31.372804856536447,0.4738756539772703,0.2683257868297388,41.49284009546539,1.5226730310262528
